Date,Open,High,Low,Close,Volume
1/1/2021,1.51,1.865,1.495,1.847,1125773.54
1/2/2021,1.847,2.012,1.752,1.799,1060347.35
1/3/2021,1.799,2.808,2.007,2.185,1475936.63
1/4/2021,2.185,2.573,2.066,2.491,1543191.05
1/5/2021,2.491,2.634,2.145,2.158,1246011.66
1/6/2021,2.158,2.628,1.895,1.925,1235109.61
1/7/2021,1.958,2.652,1.939,2.36,1657680.12
1/8/2021,2.36,3.815,2.182,3.225,2032046.03
1/9/2021,3.225,3.681,2.932,3.381,938188.86
1/10/2021,3.381,3.762,3.165,3.471,662473.96
1/11/2021,3.471,3.516,2.599,3.118,1187947.45
1/12/2021,3.118,3.919,3.084,3.737,1005517.84
1/13/2021,3.737,4.175,3.263,3.647,676796.96
1/14/2021,3.647,3.791,3.246,3.326,691711.54
1/15/2021,3.326,3.635,2.978,3.245,574281.91
1/16/2021,3.245,3.699,3.245,3.449,463418.94
1/17/2021,3.449,3.999,3.313,3.824,697433.44
1/18/2021,3.824,4.153,3.621,3.798,854065.36
1/19/2021,3.798,4.09,3.582,3.635,840275.37
1/20/2021,3.635,3.739,3.345,3.736,712145.73
1/21/2021,3.736,3.736,2.952,2.997,703791.98
1/22/2021,2.997,3.504,2.576,3.329,826775.76
1/23/2021,3.329,3.606,3.313,3.517,470767.61
1/24/2021,3.517,3.797,3.49,3.644,661113.67
1/25/2021,3.644,3.987,3.448,3.7,794632
1/26/2021,3.7,4.099,3.687,4.031,1000392.82
1/27/2021,4.031,4.033,3.521,3.693,331130.31
1/28/2021,3.693,3.952,3.618,3.847,344118.78
1/29/2021,3.814,4.012,3.602,3.827,655289.91
1/30/2021,3.839,4.325,3.789,4.218,771726.59
1/31/2021,4.218,4.792,4.167,4.263,1439455.37
2/1/2021,4.263,4.616,4.094,4.616,437158.49
2/2/2021,4.616,5.393,4.476,5.255,1033097.85
2/3/2021,5.255,5.783,5.077,5.736,1034840.35
2/4/2021,5.736,6.616,5.58,6.425,860541.08
2/5/2021,6.425,7.125,6.425,6.69,854836.91
